WT	drdd	logFC_drdd_WT	PValue_drdd_WT	FDR_drdd_WT
AT1TE05490	0	0	0	1	1
AT1TE05580	0	0	0	1	1
AT1TE05585	0	0	0	1	1
AT1TE05590	0	0	0	1	1
AT1TE05700	0	0	0	1	1
AT1TE05870	4280.24606171909	4783.17816068256	0.174287699979373	0.780406585119372	1
AT1TE06030	0	0	0	1	1
AT1TE06060	0	0	0	1	1
AT1TE06140	0	0	0	1	1
AT1TE06220	0	0	0	1	1
AT1TE06340	0	0	0	1	1
AT1TE06345	0	0	0	1	1
AT1TE06460	0	0	0	1	1
AT1TE06465	0	0	0	1	1
AT1TE06470	0	0	0	1	1
AT1TE06475	0	0	0	1	1
AT1TE06480	0	0	0	1	1
AT1TE06485	0	0	0	1	1
AT1TE06560	213.464464406248	279.442403414139	0.358267020025161	0.823221524868798	1
AT1TE06650	1532.87035649652	1500.86229483269	-0.0229705996499431	0.932340140386669	1
AT1TE06655	0	0	0	1	1
AT1TE06730	2154.73890678311	4525.89077357529	1.06046088506519	0.0328750560648536	1
AT1TE06780	420.107223903028	437.265739092789	0.0544971944828966	0.887722983755972	1
AT1TE07050	0	0	0	1	1
AT1TE07150	0	0	0	1	1
AT1TE07155	0	0	0	1	1
AT1TE07160	0	0	0	1	1
AT1TE07165	0	0	0	1	1
AT1TE07180	0	0	0	1	1
AT1TE07290	0	0	0	1	1
AT1TE07295	0	0	0	1	1
AT1TE07300	0	0	0	1	1
AT1TE07305	0	0	0	1	1
AT1TE07360	0	0	0	1	1
AT1TE07365	0	0	0	1	1
AT1TE07460	0	0	0	1	1
AT1TE07620	0	0	0	1	1
AT1TE07625	0	0	0	1	1
AT1TE07750	0	0	0	1	1
AT1TE07780	0	0	0	1	1
AT1TE07880	0	0	0	1	1
AT1TE07970	712.570404394574	973.351745709786	0.473159755164319	0.588812891828566	1
AT1TE08020	0	0	0	1	1
AT1TE08050	16.0442097716529	0	-1.92447034525543	1	1
AT1TE08055	0	0	0	1	1
AT1TE08060	0	0	0	1	1
AT1TE08190	7.67405589078003	0	-1.92447033479268	1	1
AT1TE08220	0	0	0	1	1
AT1TE08230	0	0	0	1	1
AT1TE08240	0	0	0	1	1
AT1TE08245	0	0	0	1	1
AT1TE08410	500.136745985319	648.542323745654	0.365515042339789	0.999999999999999	1
AT1TE08415	0	0	0	1	1
AT1TE08420	0	0	0	1	1
AT1TE08425	0	0	0	1	1
AT1TE08430	0	0	0	1	1
AT1TE08510	0	0	0	1	1
AT1TE08580	1726.54073866151	1949.57676975363	0.147409815160168	0.794890068454341	1
AT1TE08660	0	0	0	1	1
AT1TE08670	0	0	0	1	1
AT1TE08710	2936.95516599311	1642.04248616546	-0.832415618125088	0.44269402399037	1
AT1TE08830	0	0	0	1	1
AT1TE09080	0	0	0	1	1
AT1TE09290	0	0	0	1	1
AT1TE09295	0	0	0	1	1
AT1TE09360	67.1479890443253	0	-1.92447032432985	1	1
AT1TE09365	0	0	0	1	1
AT1TE09370	0	0	0	1	1
AT1TE09375	0	0	0	1	1
AT1TE09380	0	0	0	1	1
AT1TE09470	0	0	0	1	1
AT1TE09690	0	0	0	1	1
AT1TE09695	0	0	0	1	1
AT1TE09700	0	0	0	1	1
AT1TE09705	0	0	0	1	1
AT1TE09820	0	0	0	1	1
AT1TE09960	0	0	0	1	1
AT1TE09970	0	0	0	1	1
AT1TE09975	0	0	0	1	1
AT1TE09980	0	0	0	1	1
AT1TE10030	0	0	0	1	1
AT1TE10090	0	0	0	1	1
AT1TE10140	0	0	0	1	1
AT1TE10190	0	0	0	1	1
AT1TE10470	100.721983566488	122.568274026289	-0.0776985673398705	1	1
AT1TE10550	0	0	0	1	1
AT1TE10555	0	0	0	1	1
AT1TE10560	0	0	0	1	1
AT1TE10565	0	0	0	1	1
AT1TE10570	0	0	0	1	1
AT1TE10600	0	0	0	1	1
AT1TE10605	0	103.822537998739	1.84712579539503	1	1
AT1TE10610	63.9487448830325	35.560973221879	-0.887916960466279	0.999999999999999	1
AT1TE10615	110.359161589697	12.8230202527865	-2.16026867530512	0.28032048624227	1
AT1TE10830	760.705203577586	711.560814054663	-0.0747610460731442	0.702512990939072	1
AT1TE10860	0	0	0	1	1
AT1TE10865	0	0	0	1	1
AT1TE10870	0	0	0	1	1
AT1TE10875	0	0	0	1	1
AT1TE10930	0	0	0	1	1
AT1TE10935	0	0	0	1	1
AT1TE10990	0	0	0	1	1
AT1TE10995	0	0	0	1	1
AT1TE11000	51.3024454921865	0	-1.92212750468344	1	1
AT1TE11020	122.157953500236	0	-4.14316245253935	0.0988269832213125	1
AT1TE11100	0	0	0	1	1
AT1TE11105	0	0	0	1	1
AT1TE11110	0	0	0	1	1
AT1TE11115	0	0	0	1	1
AT1TE11150	0	0	0	1	1
AT1TE11330	0	0	0	1	1
AT1TE11380	0	0	0	1	1
AT1TE11385	0	0	0	1	1
AT1TE11390	0	0	0	1	1
AT1TE11410	1767.63463766948	1763.26175564327	-0.039980779328664	1	1
AT1TE11450	0	0	0	1	1
AT1TE11470	0	0	0	1	1
AT1TE11475	0	0	0	1	1
AT1TE11530	0	0	0	1	1
AT1TE11535	0	0	0	1	1
AT1TE11540	0	0	0	1	1
AT1TE11545	0	0	0	1	1
AT1TE11555	0	0	0	1	1
AT1TE11560	0	0	0	1	1
AT1TE11565	0	6.16678145615581	1.84960222034958	0.999999999999999	1
AT1TE11570	0	0	0	1	1
AT1TE11580	0	0	0	1	1
AT1TE11600	0	0	0	1	1
AT1TE11605	0	0	0	1	1
AT1TE11630	0	0	0	1	1
AT1TE11730	0	0	0	1	1
AT1TE11810	597.909103951861	473.224920254598	-0.292291240266299	0.831717037492152	1
AT1TE11950	0	0	0	1	1
AT1TE12090	0	0	0	1	1
AT1TE12130	0	65.3280896662233	3.23680292009637	0.347718713171782	1
AT1TE12135	1638.42039332522	1488.89276749776	-0.136177002240092	0.585625612094406	1
AT1TE12220	0	0	0	1	1
AT1TE12230	0	0	0	1	1
AT1TE12235	0	0	0	1	1
AT1TE12240	0	0	0	1	1
AT1TE12270	0	0	0	1	1
AT1TE12275	0	0	0	1	1
AT1TE12280	0	0	0	1	1
AT1TE12285	0	0	0	1	1
AT1TE12295	0	0	0	1	1
AT1TE12305	0	0	0	1	1
AT1TE12310	0	0	0	1	1
AT1TE12420	0	0	0	1	1
AT1TE12425	0	0	0	1	1
AT1TE12430	0	0	0	1	1
AT1TE12435	0	0	0	1	1
AT1TE12440	0	0	0	1	1
AT1TE12520	0	0	0	1	1
AT1TE12525	0	0	0	1	1
AT1TE12660	0	0	0	1	1
AT1TE12665	13.0092849737367	6.9975380969228	-0.649445424759611	1	1
AT1TE12670	0	0	0	1	1
AT1TE12675	0	0	0	1	1
AT1TE12710	0	0	0	1	1
AT1TE12715	0	0	0	1	1
AT1TE12720	0	0	0	1	1
AT1TE12725	0	0	0	1	1
AT1TE12750	0	0	0	1	1
AT1TE12770	0	0	0	1	1
AT1TE12775	0	0	0	1	1
AT1TE12785	0	0	0	1	1
AT1TE12790	0	0	0	1	1
AT1TE12795	0	0	0	1	1
AT1TE12800	0	0	0	1	1
AT1TE12810	0	0	0	1	1
AT1TE12830	0	0	0	1	1
AT1TE12880	0	0	0	1	1
AT1TE13060	27.4696318817694	18.3116614973505	-0.12318683609217	1	1
AT1TE13240	0	0	0	1	1
AT1TE13245	0	0	0	1	1
AT1TE13270	0	0	0	1	1
AT1TE13300	0	0	0	1	1
AT1TE13305	0	0	0	1	1
AT1TE13310	0	0	0	1	1
AT1TE13320	0	0	0	1	1
AT1TE13360	0	0	0	1	1
AT1TE13365	0	0	0	1	1
AT1TE13370	0	0	0	1	1
AT1TE13375	0	0	0	1	1
AT1TE13380	0	0	0	1	1
AT1TE13430	0	0	0	1	1
AT1TE13440	0	0	0	1	1
AT1TE13445	0	0	0	1	1
AT1TE13450	0	0	0	1	1
AT1TE13455	0	0	0	1	1
AT1TE13560	0	0	0	1	1
AT1TE13640	0	0	0	1	1
AT1TE13690	0	0	0	1	1
AT1TE13960	0	0	0	1	1
AT1TE13965	0	0	0	1	1
AT1TE13970	0	0	0	1	1
AT1TE13980	0	0	0	1	1
AT1TE14020	0	0	0	1	1
AT1TE14025	0	0	0	1	1
AT1TE14080	0	0	0	1	1
AT1TE14085	1.55634079548927	0	-1.92212748186464	1	1
AT1TE14210	11326.0361677857	11334.711677117	-0.0141484609575623	1	1
AT1TE14230	0	9.72691878330085	1.80133087976475	0.999999999999999	1
AT1TE14310	0	0	0	1	1
AT1TE14315	0	0	0	1	1
AT1TE14320	0	0	0	1	1
AT1TE14325	0	0	0	1	1
AT1TE14330	0	0	0	1	1
AT1TE14335	0	0	0	1	1
AT1TE14340	0	0	0	1	1
AT1TE14345	0	0	0	1	1
AT1TE14350	0	0	0	1	1
AT1TE14355	0	0	0	1	1
AT1TE14500	147.407813290193	129.498174588185	-0.148957104465167	1	1
AT1TE14590	0	82.3348659281343	1.84960203749146	1	1
AT1TE14600	0	0	0	1	1
AT1TE14640	0	0	0	1	1
AT1TE14645	0	0	0	1	1
AT1TE14655	4740.34823918118	6753.93711014365	0.542974353035924	0.334122942601935	1
AT1TE14670	4522.81219078686	5058.34087763012	0.13947334344877	0.542693812426535	1
AT1TE14730	0	0	0	1	1
AT1TE14750	22399.2371552226	26683.557831882	0.258398098091034	0.304908760165527	1
AT1TE14755	0	0	0	1	1
AT1TE14820	0	0	0	1	1
